category,authorLocation,requiredFunding,targetAudience,success
education,coastal,188221,smes developers farmers teachers smes patients patients tourists tourists smes youth commuters teachers teachers patients commuters parents seniors youth developers,1
other,suburban,41524,seniors parents seniors seniors teachers seniors youth farmers teachers smes smes tourists patients farmers youth youth commuters developers tourists tourists farmers parents commuters smes teachers farmers seniors farmers teachers developers,1
education,urban,36201,youth farmers smes farmers tourists youth patients tourists tourists commuters parents youth patients smes patients developers patients patients developers patients patients patients smes farmers seniors developers smes developers tourists parents,1
healthcare,inland,182925,seniors teachers teachers teachers seniors tourists farmers tourists tourists patients,1
education,urban,8528,farmers tourists parents youth developers parents parents farmers teachers developers,1
healthcare,unknown,268409,seniors farmers smes,0
education,suburban,275267,tourists developers teachers tourists teachers patients commuters farmers smes developers,1
infrastructure,urban,137496,youth tourists youth tourists commuters farmers patients teachers youth seniors seniors smes tourists patients seniors smes smes developers developers farmers,1
infrastructure,suburban,102700,developers parents patients seniors parents farmers parents youth youth patients developers youth youth youth seniors tourists farmers youth patients farmers,1
healthcare,coastal,121911,parents parents commuters developers teachers teachers parents developers parents tourists tourists tourists farmers seniors youth seniors teachers patients seniors seniors tourists commuters patients patients patients commuters teachers developers seniors developers,1
technology,inland,103626,commuters patients tourists,1
other,rural,228265,developers developers patients smes tourists parents parents smes parents patients smes parents parents parents developers tourists developers farmers developers tourists youth developers youth commuters parents tourists youth patients farmers tourists,1
education,rural,260875,farmers developers patients,0
healthcare,unknown,288594,teachers developers commuters developers developers patients parents smes youth youth parents teachers farmers commuters teachers farmers farmers teachers youth smes teachers farmers tourists developers parents tourists commuters teachers farmers farmers,1
infrastructure,coastal,128207,parents smes smes patients teachers developers developers patients youth parents seniors commuters parents parents patients farmers developers farmers patients patients smes patients farmers youth commuters developers tourists teachers developers smes,1
infrastructure,urban,65214,patients farmers farmers,1
agriculture,suburban,260083,parents commuters commuters,0
healthcare,urban,250457,farmers smes commuters tourists developers parents tourists seniors tourists smes youth teachers smes smes farmers smes teachers tourists tourists youth youth smes parents tourists developers tourists parents tourists smes parents,1
healthcare,inland,17563,seniors teachers developers youth seniors seniors tourists seniors farmers parents patients smes commuters patients commuters youth developers patients commuters patients teachers teachers patients smes youth farmers commuters youth youth tourists,1
technology,coastal,229878,parents smes farmers farmers parents parents commuters smes tourists farmers,1
agriculture,inland,274498,seniors seniors teachers seniors youth youth smes developers seniors developers,0
healthcare,inland,182620,commuters smes commuters developers teachers seniors youth teachers developers parents commuters parents patients seniors smes farmers patients teachers patients commuters seniors seniors tourists youth smes teachers tourists farmers smes teachers,1
infrastructure,suburban,297206,patients developers youth tourists smes teachers farmers teachers farmers farmers patients patients parents farmers parents teachers youth farmers seniors farmers patients tourists patients tourists smes seniors smes developers teachers developers,1
agriculture,inland,231466,parents seniors teachers,0
agriculture,urban,31219,developers parents tourists,1
agriculture,rural,116837,tourists commuters youth,1
agriculture,rural,243402,seniors farmers developers teachers youth youth youth patients smes smes patients smes parents patients smes developers smes teachers smes teachers tourists teachers seniors patients tourists smes seniors commuters patients teachers,1
infrastructure,unknown,237028,smes tourists commuters parents teachers youth farmers seniors patients youth patients teachers farmers developers tourists smes patients patients smes commuters teachers smes patients patients seniors farmers patients developers smes seniors,1
healthcare,suburban,226140,patients developers seniors tourists seniors patients tourists farmers tourists tourists seniors tourists youth teachers patients parents youth teachers patients smes farmers tourists patients patients commuters farmers parents tourists seniors youth,1
education,rural,299101,developers teachers smes commuters smes smes parents farmers tourists youth,0
education,rural,119822,developers teachers smes smes commuters youth tourists farmers farmers parents patients commuters farmers teachers tourists patients tourists youth tourists smes tourists parents smes teachers youth teachers parents patients teachers farmers,1
other,rural,200951,seniors teachers smes,0
healthcare,suburban,174275,commuters commuters teachers,1
other,urban,109263,youth farmers seniors smes youth tourists tourists farmers farmers teachers developers teachers developers commuters teachers youth youth developers parents smes,1
agriculture,urban,239742,commuters patients tourists developers teachers commuters farmers developers commuters developers patients tourists parents seniors seniors developers patients teachers patients commuters,1
agriculture,rural,35889,seniors patients tourists farmers patients farmers smes smes seniors developers teachers tourists commuters seniors parents youth seniors commuters commuters youth,1
technology,coastal,288624,farmers seniors smes farmers teachers patients farmers teachers tourists youth smes smes youth parents teachers farmers developers teachers teachers teachers,1
education,inland,23321,patients seniors developers seniors farmers commuters commuters teachers parents commuters patients seniors developers farmers teachers tourists developers farmers tourists patients patients teachers farmers developers tourists farmers patients patients patients developers,1
infrastructure,inland,214768,seniors developers commuters teachers seniors developers smes parents developers youth,0
education,suburban,268104,tourists commuters developers,0
agriculture,suburban,80729,youth farmers farmers patients seniors smes commuters parents developers seniors,1
healthcare,rural,207771,teachers tourists seniors developers youth parents youth teachers smes teachers teachers developers teachers smes developers patients commuters seniors seniors parents,1
other,suburban,107254,farmers youth developers commuters teachers tourists seniors parents tourists commuters commuters teachers teachers youth commuters seniors commuters developers commuters patients,1
other,unknown,70654,teachers patients youth,1
infrastructure,inland,277850,tourists smes teachers patients parents youth patients commuters teachers youth smes seniors tourists smes teachers smes parents teachers tourists developers,0
agriculture,coastal,119382,parents tourists smes parents farmers patients developers teachers parents teachers parents smes teachers tourists teachers smes farmers youth parents parents tourists smes tourists youth teachers developers farmers developers farmers teachers,1
infrastructure,inland,142195,teachers parents developers,0
technology,inland,126763,seniors seniors commuters patients youth youth smes tourists farmers smes,1
agriculture,coastal,198406,commuters smes teachers seniors teachers tourists parents patients seniors commuters smes farmers seniors commuters tourists commuters smes farmers smes teachers,1
education,rural,44779,tourists seniors tourists tourists farmers youth developers youth teachers parents parents commuters patients farmers developers patients developers smes tourists farmers developers developers smes youth patients seniors commuters tourists parents smes,1
agriculture,unknown,55521,commuters developers parents,1
agriculture,coastal,146397,tourists seniors seniors tourists farmers parents youth youth youth patients,1
technology,coastal,67601,tourists patients seniors,1
agriculture,inland,145028,youth teachers teachers smes seniors seniors parents seniors teachers smes,1
other,rural,161444,smes smes youth commuters teachers teachers tourists tourists patients tourists,1
technology,coastal,75295,smes patients farmers patients seniors farmers seniors seniors commuters youth farmers farmers developers teachers tourists youth patients patients farmers teachers commuters seniors farmers seniors tourists patients commuters parents smes smes,1
technology,suburban,13627,farmers seniors seniors commuters smes youth developers parents youth teachers farmers tourists smes seniors parents smes parents patients teachers smes farmers tourists commuters youth smes seniors parents parents tourists tourists,1
agriculture,inland,175628,teachers commuters farmers farmers smes teachers developers developers teachers tourists,1
education,coastal,235957,tourists seniors farmers youth developers parents seniors seniors seniors tourists,1
technology,urban,35152,developers youth patients commuters parents farmers teachers parents smes patients youth teachers teachers teachers commuters youth commuters farmers smes youth,1
infrastructure,coastal,77452,smes seniors patients youth farmers teachers developers developers teachers seniors smes parents smes tourists parents smes commuters commuters developers tourists,1
other,rural,179980,commuters farmers developers,0
healthcare,urban,136139,patients tourists seniors,1
agriculture,urban,43915,patients commuters youth teachers farmers seniors farmers developers tourists seniors seniors youth seniors developers developers patients parents commuters farmers seniors developers smes parents seniors youth commuters tourists parents youth parents,1
other,suburban,229435,youth farmers smes youth seniors teachers parents farmers teachers tourists youth seniors farmers teachers parents patients tourists seniors tourists teachers,1
other,urban,285422,teachers developers commuters smes developers developers patients youth developers smes patients smes tourists parents smes youth commuters teachers seniors teachers smes seniors developers youth youth parents farmers patients commuters farmers,1
infrastructure,urban,185547,commuters tourists tourists farmers youth parents developers teachers smes developers parents farmers parents seniors patients smes developers smes teachers parents developers youth seniors smes developers tourists youth developers commuters parents,1
agriculture,unknown,43279,tourists teachers teachers seniors tourists youth parents seniors teachers smes smes tourists developers parents teachers teachers commuters developers teachers farmers,1
healthcare,suburban,289245,parents teachers seniors developers youth farmers parents seniors smes tourists tourists seniors youth developers patients seniors teachers patients smes commuters seniors teachers teachers seniors teachers smes developers parents patients commuters,1
education,suburban,56008,commuters parents commuters youth patients developers tourists developers smes farmers parents seniors commuters teachers tourists farmers smes tourists seniors youth smes developers farmers seniors smes developers patients teachers tourists teachers,1
infrastructure,suburban,180761,smes commuters developers smes commuters parents patients farmers parents parents,1
other,rural,249774,farmers tourists patients tourists seniors seniors parents tourists youth patients,0
other,unknown,58842,developers youth patients youth farmers parents parents parents commuters tourists seniors developers patients commuters patients farmers patients farmers developers parents parents commuters seniors commuters parents developers developers patients smes commuters,1
education,inland,246531,farmers farmers parents parents seniors teachers commuters developers teachers parents,1
infrastructure,coastal,46983,teachers youth youth,1
technology,rural,206434,teachers commuters smes seniors seniors seniors youth commuters patients developers developers parents patients seniors tourists youth youth seniors patients farmers smes youth tourists tourists parents developers commuters teachers developers smes,1
other,suburban,280916,farmers farmers farmers commuters seniors smes teachers smes parents youth seniors developers tourists commuters seniors farmers tourists patients tourists patients parents developers smes smes farmers commuters tourists youth youth developers,1
other,suburban,43057,smes tourists commuters patients seniors patients tourists youth commuters tourists youth smes farmers seniors tourists seniors youth tourists farmers commuters,1
healthcare,rural,31281,developers seniors youth parents tourists youth seniors farmers patients parents smes patients seniors youth seniors smes seniors developers youth youth tourists teachers seniors seniors commuters commuters developers developers commuters smes,1
healthcare,suburban,214760,seniors parents commuters patients teachers youth teachers tourists farmers parents developers parents patients farmers seniors seniors commuters farmers developers youth,1
technology,suburban,218080,youth seniors seniors developers farmers smes farmers farmers seniors parents,1
technology,inland,28848,smes smes tourists,1
education,unknown,77417,youth commuters tourists tourists commuters smes youth youth parents farmers,1
other,suburban,237543,seniors teachers developers youth smes parents tourists patients commuters developers parents parents youth developers farmers seniors parents teachers teachers smes commuters parents developers smes developers tourists developers tourists tourists tourists,1
agriculture,inland,272575,smes teachers teachers commuters tourists parents smes teachers teachers patients developers developers seniors smes patients farmers commuters youth seniors farmers farmers commuters smes commuters patients teachers developers seniors parents developers,1
agriculture,suburban,30971,farmers patients youth,1
other,coastal,29840,commuters seniors patients farmers seniors patients seniors developers seniors tourists smes tourists commuters patients youth teachers developers patients parents farmers,1
education,unknown,250282,parents parents patients developers youth youth youth smes developers commuters seniors farmers smes seniors patients parents farmers farmers teachers youth patients farmers tourists parents parents smes tourists patients parents farmers,1
agriculture,inland,62258,developers tourists developers,1
education,suburban,5781,developers patients farmers,1
healthcare,suburban,118296,patients youth parents commuters seniors commuters developers parents seniors smes farmers developers patients patients commuters parents smes smes parents developers teachers parents smes farmers tourists youth parents commuters teachers developers,1
other,suburban,258579,teachers developers farmers teachers developers tourists developers tourists teachers tourists parents youth youth parents commuters farmers developers smes parents patients,1
healthcare,coastal,157010,commuters teachers commuters,1
agriculture,unknown,93508,farmers youth smes,1
other,rural,231732,youth parents seniors farmers seniors smes parents youth farmers teachers,0
other,inland,217506,patients tourists farmers parents tourists tourists parents smes patients tourists patients parents commuters teachers developers developers farmers smes tourists youth,1
education,suburban,98408,patients tourists commuters tourists youth youth teachers developers patients farmers seniors youth patients parents seniors commuters youth patients teachers commuters teachers patients farmers smes teachers youth parents parents farmers patients,1
healthcare,unknown,643,parents parents farmers,1
other,suburban,170655,youth youth tourists smes patients tourists patients parents parents smes commuters developers commuters seniors commuters developers youth seniors parents patients,1
other,inland,179725,smes teachers youth developers teachers commuters parents patients farmers parents,1
other,coastal,266666,seniors developers youth,0
infrastructure,urban,83685,patients seniors patients youth smes parents teachers seniors teachers commuters farmers farmers youth seniors patients developers parents patients youth tourists,1
other,coastal,287194,parents commuters teachers farmers smes youth youth commuters developers developers youth patients teachers developers developers tourists seniors seniors commuters seniors tourists smes seniors youth seniors tourists seniors smes commuters tourists,0
infrastructure,inland,207846,developers commuters farmers teachers developers smes developers youth teachers seniors commuters commuters parents parents commuters seniors tourists teachers patients patients,1
agriculture,rural,37344,seniors seniors teachers,1
healthcare,inland,167073,teachers parents commuters seniors parents youth farmers commuters youth teachers commuters teachers farmers patients tourists farmers seniors commuters smes smes parents commuters parents tourists seniors seniors smes smes parents patients,1
education,coastal,183130,developers farmers seniors,1
education,inland,249963,tourists smes farmers,0
infrastructure,inland,153964,farmers parents tourists,1
other,inland,29108,patients developers parents,1
other,coastal,12317,teachers teachers parents patients tourists smes farmers smes patients teachers smes teachers parents teachers developers developers smes farmers patients tourists,1
infrastructure,unknown,251727,parents tourists farmers,0
technology,urban,295399,patients tourists patients parents patients farmers teachers farmers developers parents developers teachers seniors farmers commuters parents parents youth patients parents smes parents tourists patients developers farmers teachers patients teachers commuters,1
other,unknown,278234,seniors patients commuters seniors patients developers smes developers tourists tourists smes youth youth seniors tourists patients developers teachers developers youth,0
education,coastal,48468,patients parents tourists,1
infrastructure,coastal,91700,youth farmers farmers teachers smes farmers commuters youth smes tourists,1
education,unknown,181326,tourists farmers patients tourists youth youth tourists seniors youth tourists smes teachers teachers youth patients youth tourists parents smes patients,1
infrastructure,inland,255033,commuters seniors developers smes teachers smes smes parents youth seniors,0
other,coastal,74621,youth commuters commuters patients developers seniors teachers farmers teachers teachers,1
infrastructure,suburban,224281,tourists seniors patients teachers tourists patients farmers parents teachers tourists,0
technology,unknown,208285,developers parents parents patients smes youth teachers smes seniors teachers youth youth seniors smes seniors seniors farmers smes teachers developers,1
education,coastal,267379,smes parents smes farmers parents smes developers youth teachers seniors,1
infrastructure,rural,44563,commuters commuters developers farmers parents patients farmers youth smes teachers tourists teachers commuters smes parents smes patients teachers farmers tourists,1
infrastructure,unknown,191161,patients youth tourists youth patients smes developers youth parents parents farmers parents smes farmers parents farmers developers patients developers smes,1
infrastructure,coastal,119509,developers tourists patients,1
agriculture,inland,33065,seniors developers seniors,1
education,inland,265911,tourists smes teachers youth smes patients parents farmers seniors developers,0
education,coastal,106168,smes developers patients,1
technology,unknown,99545,parents tourists teachers smes teachers seniors parents parents youth seniors,1
other,suburban,70748,youth farmers teachers,1
healthcare,inland,255463,patients developers teachers patients smes commuters seniors teachers parents youth smes developers teachers developers parents commuters parents parents farmers teachers farmers tourists tourists youth patients farmers commuters parents smes farmers,1
agriculture,rural,145591,farmers teachers tourists parents smes youth smes patients commuters teachers smes patients commuters seniors patients seniors farmers commuters smes farmers,1
technology,coastal,182413,teachers commuters farmers parents teachers patients farmers farmers farmers patients farmers tourists youth farmers farmers tourists seniors tourists smes teachers,1
technology,coastal,202497,tourists youth farmers developers smes patients seniors teachers developers seniors farmers tourists commuters commuters parents seniors patients tourists patients farmers,1
healthcare,suburban,249295,seniors smes developers,1
agriculture,unknown,270512,patients commuters parents tourists youth commuters commuters youth youth farmers parents farmers parents farmers commuters farmers seniors commuters commuters farmers,1
education,urban,101273,youth teachers developers smes tourists patients seniors farmers youth tourists,1
healthcare,inland,198578,commuters commuters farmers developers tourists farmers farmers farmers seniors developers commuters tourists youth parents commuters smes youth farmers teachers parents,1
healthcare,urban,251146,smes smes smes developers patients developers parents commuters commuters patients smes farmers seniors developers smes farmers developers teachers commuters seniors patients smes tourists teachers commuters farmers commuters farmers youth youth,1
infrastructure,coastal,90365,seniors seniors youth commuters parents parents commuters teachers seniors patients commuters parents teachers teachers youth farmers youth developers teachers farmers developers parents smes commuters patients developers patients youth developers farmers,1
technology,rural,31322,patients tourists farmers smes commuters parents tourists farmers patients youth seniors youth parents parents commuters parents patients tourists farmers parents farmers youth farmers parents developers commuters tourists seniors tourists parents,1
healthcare,suburban,175310,tourists patients parents patients farmers tourists parents developers patients developers farmers parents parents parents smes youth farmers developers seniors commuters,1
healthcare,rural,207701,developers youth tourists youth parents tourists commuters farmers tourists youth,1
healthcare,urban,25194,farmers patients developers parents commuters developers seniors smes patients youth teachers youth seniors patients youth patients teachers commuters youth commuters,1
infrastructure,suburban,297781,teachers farmers smes seniors patients teachers developers commuters developers developers,0
education,unknown,185408,youth farmers commuters smes smes tourists tourists teachers commuters teachers commuters commuters farmers developers tourists developers farmers parents youth youth,1
infrastructure,unknown,286515,smes commuters developers seniors seniors farmers tourists commuters parents commuters seniors developers developers farmers seniors tourists tourists youth tourists smes,0
healthcare,coastal,80419,youth developers farmers patients developers seniors tourists patients smes smes,1
agriculture,urban,277925,commuters smes seniors,0
technology,suburban,289438,youth tourists youth,1
infrastructure,coastal,147095,commuters parents parents commuters seniors parents commuters teachers tourists developers youth developers tourists farmers farmers parents patients patients developers commuters commuters teachers seniors parents teachers commuters smes youth seniors seniors,1
other,suburban,37955,smes tourists commuters tourists seniors smes patients farmers patients seniors,1
infrastructure,inland,122683,patients parents teachers smes patients seniors commuters seniors seniors teachers,1
other,coastal,106560,developers patients patients youth parents seniors seniors seniors teachers teachers patients seniors teachers youth youth farmers commuters patients farmers tourists,1
infrastructure,unknown,29135,youth parents seniors farmers seniors parents parents patients parents parents,1
infrastructure,rural,62268,smes tourists developers patients youth developers youth youth patients smes,1
technology,coastal,222721,seniors tourists smes youth farmers patients commuters developers parents farmers teachers teachers parents parents youth patients parents developers tourists parents,1
agriculture,coastal,265226,developers teachers commuters developers developers commuters patients smes teachers teachers teachers parents teachers smes parents parents smes seniors seniors youth parents patients patients seniors youth developers smes tourists farmers teachers,1
infrastructure,urban,258052,developers patients seniors patients seniors parents teachers teachers farmers seniors,1
infrastructure,rural,224983,teachers tourists patients parents tourists youth farmers seniors teachers developers,0
technology,rural,138870,teachers farmers parents,1
other,rural,59794,teachers developers seniors,1
education,rural,134972,patients parents seniors commuters smes seniors farmers seniors developers commuters,1
technology,unknown,141351,smes farmers tourists smes smes seniors patients tourists developers parents patients developers commuters tourists patients youth youth patients smes patients,1
technology,rural,58317,developers smes seniors,1
infrastructure,rural,220269,farmers tourists farmers developers teachers teachers developers farmers patients developers,0
technology,unknown,209259,tourists patients farmers developers commuters developers developers tourists developers commuters developers smes seniors patients commuters farmers teachers patients commuters commuters,1
other,unknown,105522,parents seniors seniors youth seniors farmers developers parents tourists teachers seniors smes parents seniors parents parents patients seniors developers patients smes commuters smes smes patients youth farmers tourists smes commuters,1
other,inland,177842,farmers patients seniors seniors farmers developers youth tourists patients youth patients commuters parents tourists teachers youth youth farmers teachers parents,1
technology,inland,176074,youth patients commuters parents youth tourists developers teachers teachers teachers,1
education,urban,150449,smes seniors patients commuters teachers teachers tourists parents commuters parents commuters smes parents seniors developers patients developers smes patients tourists seniors youth developers commuters smes smes seniors parents parents smes,1
infrastructure,rural,128725,developers developers farmers,0
education,coastal,165914,teachers tourists commuters,1
healthcare,rural,81699,tourists farmers youth,1
education,urban,41260,patients commuters farmers seniors tourists farmers commuters patients tourists patients,1
agriculture,suburban,236679,tourists patients seniors tourists seniors commuters seniors farmers teachers farmers,1
healthcare,urban,151858,developers smes smes,1
healthcare,inland,91826,developers smes tourists seniors patients youth parents patients developers commuters,1
education,unknown,267084,patients tourists youth teachers parents smes developers commuters seniors developers parents tourists tourists smes developers patients youth parents developers tourists seniors smes seniors developers farmers smes parents parents youth smes,1
infrastructure,unknown,130544,seniors youth commuters youth tourists seniors teachers youth tourists teachers patients youth developers teachers smes tourists tourists youth patients farmers,1
education,suburban,100398,patients patients seniors,1
infrastructure,suburban,193420,farmers developers seniors youth tourists farmers patients patients farmers farmers,1
agriculture,urban,120813,smes parents developers teachers patients smes farmers seniors youth patients tourists developers developers developers developers teachers smes patients farmers commuters smes youth developers youth smes teachers youth developers tourists tourists,1
education,coastal,175533,parents commuters commuters,1
technology,unknown,186703,parents patients commuters farmers seniors parents tourists farmers smes tourists developers teachers teachers farmers patients commuters teachers developers teachers teachers smes teachers farmers commuters seniors farmers commuters parents commuters teachers,1
infrastructure,unknown,12881,developers patients parents commuters developers youth seniors seniors farmers tourists smes seniors seniors parents seniors parents developers youth developers commuters,1
technology,urban,57682,teachers youth commuters commuters patients developers teachers smes tourists teachers patients seniors youth teachers tourists teachers tourists seniors smes farmers,1
technology,unknown,14927,developers developers seniors smes smes tourists farmers parents youth parents commuters teachers tourists patients smes developers parents farmers tourists youth,1
healthcare,suburban,296035,smes teachers patients developers youth developers teachers youth developers parents,1
infrastructure,unknown,109172,parents seniors developers,1
agriculture,coastal,210279,developers smes farmers smes parents tourists farmers patients parents smes developers developers patients smes developers teachers patients seniors commuters patients,1
infrastructure,unknown,290105,parents patients teachers farmers parents smes developers smes patients teachers patients seniors teachers smes seniors tourists smes parents patients seniors smes smes tourists developers parents tourists parents smes commuters seniors,0
healthcare,suburban,175764,parents teachers seniors youth commuters patients smes parents farmers seniors farmers tourists youth patients seniors commuters parents farmers smes patients parents parents seniors commuters patients smes seniors teachers tourists youth,1
healthcare,coastal,282410,teachers developers farmers developers patients seniors developers smes smes commuters parents tourists teachers developers smes parents tourists youth developers tourists,1
technology,suburban,160761,tourists parents seniors developers youth tourists farmers tourists tourists teachers farmers youth developers parents teachers youth parents smes commuters developers,1
agriculture,coastal,170482,youth commuters parents youth youth tourists youth patients smes tourists,1
infrastructure,unknown,56341,smes teachers tourists teachers smes commuters youth parents commuters tourists smes tourists teachers commuters patients patients farmers smes tourists youth,1
technology,inland,253714,patients patients seniors parents patients commuters smes tourists commuters farmers smes smes youth developers patients developers tourists tourists patients tourists,1
healthcare,urban,143531,developers teachers smes parents parents teachers developers commuters patients developers farmers teachers youth patients teachers tourists youth commuters tourists youth developers seniors parents patients teachers developers seniors patients developers smes,1
agriculture,unknown,6964,youth parents tourists,1
education,inland,74998,smes youth tourists farmers commuters commuters patients parents smes seniors tourists parents tourists teachers farmers parents youth seniors smes smes parents patients parents patients farmers teachers youth smes smes patients,1
healthcare,suburban,4028,tourists smes developers commuters commuters smes tourists tourists youth farmers parents patients youth teachers tourists patients youth seniors farmers farmers,1
education,suburban,60288,parents parents youth youth youth commuters smes farmers patients tourists developers commuters parents smes youth tourists smes farmers youth smes,1
other,rural,289292,parents youth tourists,0
healthcare,urban,27301,commuters farmers smes commuters developers farmers youth youth tourists seniors smes patients teachers farmers tourists tourists tourists farmers developers teachers teachers parents seniors youth parents developers patients parents farmers seniors,1
agriculture,unknown,274280,patients smes parents farmers commuters farmers seniors developers patients seniors smes commuters smes commuters developers developers parents developers smes smes smes tourists youth developers commuters teachers youth farmers patients developers,0
agriculture,unknown,21765,seniors parents parents seniors seniors farmers commuters commuters farmers youth tourists teachers patients parents patients tourists patients farmers patients seniors smes parents commuters tourists developers tourists commuters farmers patients smes,1
agriculture,inland,228806,youth seniors teachers teachers patients parents tourists patients teachers youth patients teachers teachers patients youth parents tourists farmers smes patients,1
infrastructure,suburban,245534,commuters developers youth,0
agriculture,suburban,238136,patients patients commuters parents teachers teachers commuters youth patients commuters smes developers farmers developers smes youth smes smes commuters developers,1
healthcare,coastal,32948,smes patients teachers,1
technology,coastal,4622,commuters tourists smes smes youth commuters tourists patients farmers teachers smes developers patients patients teachers seniors farmers commuters patients farmers,1
infrastructure,unknown,233525,tourists seniors farmers seniors developers smes developers patients patients commuters parents youth tourists commuters developers smes teachers parents smes teachers,1
technology,coastal,294475,smes smes seniors tourists parents commuters teachers patients youth tourists farmers smes smes farmers developers patients patients farmers youth seniors patients commuters parents teachers parents farmers youth developers youth developers,1
healthcare,coastal,52773,teachers developers youth patients commuters commuters patients patients parents tourists smes youth patients commuters patients tourists developers smes farmers patients,1
infrastructure,inland,151541,commuters farmers developers parents patients tourists commuters developers seniors seniors teachers patients youth youth smes tourists developers farmers farmers developers patients tourists seniors teachers farmers developers patients developers commuters tourists,1
other,unknown,38860,smes parents teachers,1
education,inland,61865,teachers parents commuters teachers tourists parents developers teachers parents parents farmers youth patients tourists smes smes smes seniors developers tourists seniors commuters tourists smes farmers farmers developers parents smes parents,1
infrastructure,unknown,255711,developers parents tourists seniors developers commuters commuters tourists developers youth,0
other,unknown,97795,teachers parents youth commuters smes youth commuters patients commuters farmers parents youth developers seniors seniors tourists youth developers farmers parents smes patients smes commuters smes smes commuters youth youth developers,1
agriculture,inland,128549,smes patients teachers developers commuters seniors smes seniors farmers farmers,1
agriculture,rural,174088,patients developers seniors patients patients seniors commuters developers commuters seniors seniors developers youth parents commuters developers commuters youth tourists developers,1
agriculture,inland,35964,developers youth developers tourists seniors teachers commuters parents developers farmers parents farmers commuters smes seniors youth commuters youth teachers farmers tourists seniors developers tourists commuters developers commuters seniors commuters teachers,1
technology,inland,265764,seniors commuters youth parents smes patients parents commuters smes farmers teachers parents farmers tourists commuters developers youth teachers smes farmers farmers seniors smes patients youth teachers commuters teachers developers teachers,1
agriculture,unknown,289527,youth parents youth developers smes parents parents farmers youth tourists,0
healthcare,inland,19745,seniors parents patients commuters teachers seniors patients smes patients patients teachers parents farmers smes parents seniors developers smes seniors developers commuters farmers parents parents teachers teachers teachers commuters commuters teachers,1
agriculture,coastal,70755,youth teachers developers smes smes commuters developers teachers smes youth seniors tourists youth seniors patients parents commuters tourists patients patients,1
healthcare,unknown,212940,smes patients teachers commuters teachers seniors youth tourists seniors patients tourists commuters smes developers teachers patients youth parents seniors patients,1
agriculture,suburban,136618,parents seniors seniors patients tourists commuters tourists youth commuters patients developers teachers tourists developers patients farmers parents patients developers commuters,1
agriculture,suburban,100109,parents seniors commuters patients teachers parents parents seniors seniors tourists farmers parents teachers seniors parents tourists tourists smes patients youth,1
healthcare,urban,108939,parents commuters developers developers tourists tourists youth developers smes youth,1
other,unknown,78537,farmers youth smes farmers teachers patients teachers parents smes smes farmers patients tourists patients parents tourists parents developers smes commuters smes seniors patients parents smes seniors seniors seniors seniors patients,1
healthcare,suburban,56656,developers smes commuters seniors teachers farmers tourists smes smes commuters tourists parents tourists teachers parents seniors youth teachers tourists parents smes smes youth youth seniors patients commuters smes seniors teachers,1
technology,coastal,126605,parents youth tourists smes tourists parents tourists patients smes smes tourists smes developers farmers tourists seniors patients tourists patients teachers smes patients youth tourists commuters parents smes youth smes farmers,1
healthcare,rural,155327,youth commuters seniors tourists farmers tourists teachers tourists developers youth parents patients farmers commuters youth smes commuters patients seniors smes,1
infrastructure,unknown,219084,teachers farmers youth commuters developers smes youth developers commuters youth tourists youth commuters parents farmers patients patients patients tourists commuters seniors parents parents farmers patients tourists patients parents farmers farmers,1
technology,coastal,271017,teachers commuters seniors parents developers commuters commuters commuters developers patients teachers seniors seniors commuters youth patients smes commuters developers tourists,1
other,rural,232981,commuters youth seniors farmers seniors youth tourists youth parents patients,0
other,urban,192924,developers seniors teachers youth farmers youth developers seniors farmers parents teachers patients farmers tourists parents teachers youth tourists farmers smes seniors commuters smes farmers tourists commuters parents teachers youth commuters,1
technology,suburban,46703,seniors commuters smes youth teachers parents smes youth commuters farmers teachers youth teachers parents tourists commuters tourists seniors youth farmers,1
infrastructure,inland,87969,commuters developers seniors farmers parents seniors commuters tourists farmers commuters youth seniors commuters tourists youth tourists tourists farmers teachers seniors developers patients smes patients patients teachers developers developers smes tourists,1
education,rural,30424,smes commuters patients farmers tourists developers youth patients seniors patients seniors farmers youth developers tourists parents youth smes developers parents teachers parents commuters teachers tourists parents farmers teachers smes tourists,1
infrastructure,coastal,16573,tourists youth smes tourists youth developers smes seniors smes patients farmers farmers patients farmers tourists parents teachers commuters tourists tourists,1
infrastructure,coastal,250485,teachers smes patients teachers tourists commuters developers farmers youth seniors,0
other,coastal,134374,parents tourists developers,1
agriculture,urban,235724,smes parents developers,1
education,urban,257719,developers parents smes,1
agriculture,urban,181006,farmers farmers seniors smes commuters seniors parents teachers seniors commuters smes commuters patients parents commuters commuters patients developers farmers smes tourists teachers youth patients smes commuters smes smes patients tourists,1
other,urban,256582,farmers seniors patients tourists patients tourists teachers teachers tourists patients patients commuters smes parents farmers parents teachers commuters farmers teachers,1
healthcare,rural,187777,farmers developers tourists,1
infrastructure,coastal,100575,farmers commuters patients developers smes youth teachers parents tourists commuters tourists developers tourists parents developers smes parents developers farmers tourists,1
other,inland,60392,developers commuters patients tourists smes developers tourists seniors patients seniors,1
infrastructure,suburban,158950,teachers smes parents commuters youth parents smes tourists developers youth,1
education,urban,195101,parents commuters commuters seniors farmers seniors patients seniors developers parents,1
